 fecha ,      ipc
09/08/2001,6599.61
10/08/2001,6628.49
13/08/2001,6655.11
14/08/2001,6671.24
15/08/2001,6542.15
16/08/2001,6445.15
17/08/2001,6218.46
20/08/2001,6245.42
21/08/2001,6276.09
22/08/2001,6333.14
23/08/2001,6294.29
24/08/2001,6416.77
27/08/2001,6399.93
28/08/2001,6302.69
29/08/2001,6324.91
30/08/2001,6310.17
31/08/2001,6310.7
03/09/2001,6233.29
04/09/2001,6172.25
05/09/2001,6088.45
06/09/2001,5875.86
07/09/2001,5844.6
10/09/2001,5856.19
11/09/2001,5531.02
12/09/2001,5531.02
13/09/2001,5531.02
14/09/2001,5531.02
17/09/2001,5316.77
18/09/2001,5297.86
19/09/2001,5256
20/09/2001,5081.92
21/09/2001,5087.94
24/09/2001,5325.11
25/09/2001,5304.38
26/09/2001,5324.84
27/09/2001,5306.08
28/09/2001,5403.53
01/10/2001,5385.5
02/10/2001,5361.8
03/10/2001,5407.54
04/10/2001,5499.31
05/10/2001,5528.55
08/10/2001,5527.11
09/10/2001,5558.86
10/10/2001,5684.9
11/10/2001,5808.22
12/10/2001,5671.1
15/10/2001,5500.1
16/10/2001,5542.61
17/10/2001,5541.88
18/10/2001,5529.75
19/10/2001,5588.23
22/10/2001,5539.28
23/10/2001,5571.27
24/10/2001,5708.28
25/10/2001,5729.13
26/10/2001,5693.12
29/10/2001,5599.13
30/10/2001,5529.18
31/10/2001,5537.04
01/11/2001,5610.77
02/11/2001,5632.76
05/11/2001,5681.07
06/11/2001,5677.79
07/11/2001,5638.04
08/11/2001,5649.87
09/11/2001,5596.38
12/11/2001,5524.57
13/11/2001,5663.35
14/11/2001,5751.72
15/11/2001,5778.65
16/11/2001,5712.46
19/11/2001,5699.19
21/11/2001,5674.41
22/11/2001,5685.39
23/11/2001,5734.9
26/11/2001,5759.49
27/11/2001,5860.44
28/11/2001,5848.21
29/11/2001,5841.34
30/11/2001,5832.83
03/12/2001,5870.93
04/12/2001,5931.43
05/12/2001,6099.28
06/12/2001,6101.72
07/12/2001,6141.19
10/12/2001,6126.38
11/12/2001,6150.26
13/12/2001,6075.06
14/12/2001,6139.07
17/12/2001,6271.49
18/12/2001,6268.97
19/12/2001,6250.74
20/12/2001,6263.29
21/12/2001,6380.6
24/12/2001,6374.49
26/12/2001,6371.84
27/12/2001,6419.19
28/12/2001,6467.09
31/12/2001,6372.28
02/01/2002,6410.05
03/01/2002,6603.75
04/01/2002,6612.08
07/01/2002,6565.44
08/01/2002,6641.14
09/01/2002,6560.58
10/01/2002,6453.01
11/01/2002,6420.15
14/01/2002,6388.27
15/01/2002,6573.19
16/01/2002,6579.35
17/01/2002,6604.66
18/01/2002,6600.73
21/01/2002,6607.8
22/01/2002,6590.04
23/01/2002,6782.78
24/01/2002,6768.3
25/01/2002,6831.43
28/01/2002,6872.44
29/01/2002,6793.38
30/01/2002,6750.8
31/01/2002,6927.87
01/02/2002,6901.81
04/02/2002,6865.13
06/02/2002,6786.74
07/02/2002,6780.94
08/02/2002,6681.45
11/02/2002,6589.84
12/02/2002,6673.36
13/02/2002,6715.55
14/02/2002,6717.61
15/02/2002,6697.67
18/02/2002,6679.71
19/02/2002,6609.3
20/02/2002,6583.99
21/02/2002,6533.64
22/02/2002,6473.12
25/02/2002,6562.94
26/02/2002,6637.96
27/02/2002,6795.9
28/02/2002,6734.44
01/03/2002,6898
04/03/2002,7029.6
05/03/2002,7053.54
06/03/2002,7154.14
07/03/2002,7061
08/03/2002,7192.22
11/03/2002,7161.4
12/03/2002,7278.06
13/03/2002,7218.51
14/03/2002,7188.77
15/03/2002,7273.08
18/03/2002,7344.57
19/03/2002,7427.92
20/03/2002,7384.13
22/03/2002,7439.5
25/03/2002,7381.57
26/03/2002,7351.19
27/03/2002,7361.86
01/04/2002,7371.89
02/04/2002,7316.69
03/04/2002,7191.94
04/04/2002,7253.5
05/04/2002,7335.76
08/04/2002,7271.77
09/04/2002,7271.22
10/04/2002,7517.68
11/04/2002,7441.52
12/04/2002,7391.25
15/04/2002,7396.72
16/04/2002,7535.07
17/04/2002,7574.35
18/04/2002,7532.14
19/04/2002,7509.22
22/04/2002,7435.13
23/04/2002,7403.38
24/04/2002,7504.73
25/04/2002,7476.37
26/04/2002,7491.78
29/04/2002,7434.19
30/04/2002,7480.74
02/05/2002,7486.86
03/05/2002,7521.95
06/05/2002,7542.48
07/05/2002,7431.89
08/05/2002,7517.84
09/05/2002,7351.08
10/05/2002,7303.57
13/05/2002,7307.16
14/05/2002,7361.94
15/05/2002,7402.8
16/05/2002,7514.9
17/05/2002,7537.82
20/05/2002,7469.68
21/05/2002,7385.92
22/05/2002,7385.15
23/05/2002,7398.5
24/05/2002,7366.43
27/05/2002,7357.24
28/05/2002,7303.57
29/05/2002,7130.71
30/05/2002,7061.4
31/05/2002,7031.64
03/06/2002,6997.05
04/06/2002,7016.14
05/06/2002,6974.92
06/06/2002,6791.91
07/06/2002,6857.42
10/06/2002,6835
11/06/2002,6862.89
12/06/2002,6801.65
13/06/2002,6760.68
14/06/2002,6720.37
17/06/2002,6788.94
18/06/2002,6765.19
19/06/2002,6691.04
20/06/2002,6580.61
21/06/2002,6502.97
24/06/2002,6331.32
25/06/2002,6354.26
26/06/2002,6171.63
27/06/2002,6400.89
28/06/2002,6460.95
01/07/2002,6363.05
02/07/2002,6306.52
03/07/2002,6326.49
04/07/2002,6352.89
05/07/2002,6462.83
08/07/2002,6488.92
09/07/2002,6460.95
10/07/2002,6371.27
11/07/2002,6390.17
12/07/2002,6400.42
15/07/2002,6372.08
16/07/2002,6316.16
17/07/2002,6403.28
18/07/2002,6433.83
19/07/2002,6336.95
22/07/2002,6113.83
23/07/2002,5892.41
24/07/2002,6010.42
25/07/2002,5922.34
26/07/2002,5900.44
29/07/2002,6103.88
30/07/2002,6014.68
31/07/2002,6021.84
01/08/2002,5755.99
02/08/2002,5644.7
05/08/2002,5534.47
06/08/2002,5747.44
07/08/2002,5855.9
08/08/2002,6029.77
09/08/2002,5913.21
12/08/2002,5901.83
13/08/2002,5841.9
14/08/2002,6053.6
15/08/2002,6146.11
16/08/2002,6190.6
19/08/2002,6200.87
20/08/2002,6192.91
21/08/2002,6267.88
22/08/2002,6239.49
23/08/2002,6148.89
26/08/2002,6262.44
27/08/2002,6157.42
28/08/2002,6115.56
29/08/2002,6181.67
30/08/2002,6216.43
02/09/2002,6165.93
03/09/2002,6094.29
04/09/2002,6114.35
05/09/2002,6067.25
06/09/2002,6113.32
09/09/2002,6159.9
10/09/2002,6225.16
11/09/2002,6260.61
12/09/2002,6219.93
13/09/2002,6190.52
17/09/2002,6079.95
18/09/2002,5960.38
19/09/2002,5645
20/09/2002,5788.78
23/09/2002,5741.73
24/09/2002,5705.67
25/09/2002,5808.44
26/09/2002,5956.93
27/09/2002,5801.12
30/09/2002,5728.46
01/10/2002,5926.66
02/10/2002,5827.71
03/10/2002,5898.38
04/10/2002,5869.22
07/10/2002,5853.55
08/10/2002,5849.42
09/10/2002,5762.4
10/10/2002,5762.15
11/10/2002,5845.33
14/10/2002,5865.18
15/10/2002,6040.32
16/10/2002,5924.94
17/10/2002,5985.77
18/10/2002,5973.21
21/10/2002,6017.37
